species,bag,excavation,perforation
d,B5,0,0
o,B8,62.9239396,0.5799577
h,B2,10.3854604,0
h,B2,0,0
o,B7,99.4715262,0.2771342
d,B4,3.9549879,0.0205305
o,B9,96.2081484,1.0102623
o,B8,91.0159645,0.0594313
o,B9,56.8459034,0.1096964
o,B8,97.800568,1.3970565
h,B3,1.5647404,0.093423
o,B7,79.3347158,0.2911638
d,B5,0.035093,0
d,B6,0.7693515,0
h,B2,1.0537528,0
o,B8,66.9099096,0.3288456
h,B3,0,0.3875135
h,B1,0.5984968,0
d,B5,1.170314,0.28463
o,B8,10.9115708,0.2810899
d,B6,1.5650926,1.9091189
d,B5,1.5883202,0.1561812
d,B4,3.6040054,0.0769667
o,B9,2.389642,0.00869
h,B1,3.2884529,0
o,B8,95.4943367,0.6602066
o,B9,99.96439,2.4219049
d,B5,0.5163277,0.0950226
h,B2,21.5912909,0
h,B2,6.741573,0
d,B6,7.5506652,0.3580019
d,B6,8.3214434,0.4946187
o,B7,73.3799817,2.0768609
h,B1,0.2758353,0.00777
h,B1,3.5298589,0
h,B3,8.3105826,0.6345119
d,B4,9.3376714,0.7106927
h,B3,39.4359893,0.1452676
d,B5,3.9964318,0.5794359
d,B6,4.9456268,0.3148367
h,B1,1.8929034,0.1724386
d,B4,2.2855899,0.3384242
d,B4,2.1773279,0.039255
o,B9,100,0.5822181
o,B7,80.4331098,0.060423
h,B2,2.466083,0.0334046
o,B7,60.1646661,0.729481
h,B3,20.4014939,0
h,B3,28.1333951,1.1673152
d,B6,3.4983527,0.4960531
h,B1,4.1837602,0
o,B7,69.9669548,3.4285247
d,B4,12.6401786,0.060855
o,B9,100,0.2450668
