month,season,time,species,dw.export,fw.export,fw.export.avg,C.dw.export,C.fw.export,C.fw.export.avg
Mar-16,Spring,1,o,0,0,0,0,0,0
Mar-16,Spring,1,o,0.02192,0.156758045,0.155858267,0.005613736,0.040145908,0.039915474
Mar-16,Spring,1,o,0.208166667,1.574039067,1.480132113,0.053311712,0.403113137,0.379063462
Mar-16,Spring,1,o,0,0,0,0,0,0
Mar-16,Spring,1,o,0.217806667,1.788441838,1.548675621,0.055780527,0.458021922,0.39661753
Mar-16,Spring,1,h,1.377751111,8.580108481,8.580108481,0.381483852,2.375735941,2.375735941
Mar-16,Spring,1,h,0.778728889,4.849626534,4.849626534,0.215621308,1.342807271,1.342807271
Mar-16,Spring,1,h,1.108191111,6.901391604,6.901391604,0.306845707,1.91091804,1.91091804
Mar-16,Spring,1,h,0.278963667,1.588435774,1.737279329,0.077241915,0.439820075,0.481033189
Mar-16,Spring,1,h,0.973411111,6.062033166,6.062033166,0.269526634,1.678509089,1.678509089
Mar-16,Spring,1,h,0,0,0,0,0,0
Mar-16,Spring,1,h,1.302873333,8.113798236,8.113798236,0.360751034,2.246619857,2.246619857
Mar-16,Spring,1,h,1.377751111,8.580108481,8.580108481,0.381483852,2.375735941,2.375735941
Mar-16,Spring,1,h,1.377751111,8.580108481,8.580108481,0.381483852,2.375735941,2.375735941
Mar-16,Spring,1,h,0.868582222,5.409198824,5.409198824,0.240500689,1.497746571,1.497746571
Mar-16,Spring,1,o,0.150770495,1.072026826,1.072026826,0.03861249,0.274547249,0.274547249
Mar-16,Spring,1,o,0.201559495,1.341739764,1.43315299,0.051619608,0.343621029,0.367032057
Mar-16,Spring,1,o,0.100386796,0.762070498,0.713782483,0.025709169,0.195167093,0.182800479
Mar-16,Spring,1,d,0.19050862,1.22802247,1.248584726,0.05096772,0.328538971,0.334040094
Mar-16,Spring,1,d,0.079874513,0.503165141,0.523493881,0.021369227,0.134614278,0.140052927
Mar-16,Spring,1,d,0,0,0,0,0,0
Mar-16,Spring,1,d,0,0,0,0,0,0
Mar-16,Spring,1,d,0.030316292,0.191346986,0.198691582,0.008110669,0.051192013,0.053156949
Mar-16,Spring,1,d,0.278826722,1.966278051,1.827417501,0.074595902,0.526048166,0.488898111
Mar-16,Spring,1,d,0.15516504,1.080630586,1.01694453,0.041512076,0.289106486,0.272068238
Mar-16,Spring,1,d,0.382301956,2.504436548,2.505589421,0.102279147,0.67002439,0.670332824
Mar-16,Spring,1,h,1.375879167,9.005504725,8.568450728,0.380965531,2.493523397,2.37250804
Mar-16,Spring,1,h,1.403958333,8.743317065,8.743317065,0.388740338,2.42092657,2.42092657
Apr-16,Spring,2,h,0.183493896,1.048738733,1.39021432,0.050807405,0.290384009,0.384934775
Apr-16,Spring,2,h,0.5417359,4.20277977,4.104381794,0.150000603,1.163702647,1.13645735
Apr-16,Spring,2,h,1.433488092,10.43942776,10.86061017,0.396916798,2.890560625,3.007181317
