month,season,species,mass
Mar-16,Spring,d,401
Mar-16,Spring,d,336
Mar-16,Spring,d,257
Mar-16,Spring,d,352
Mar-16,Spring,d,163
Mar-16,Spring,d,289
Mar-16,Spring,d,271
Mar-16,Spring,d,187
Mar-16,Spring,d,266
Apr-16,Spring,d,442
Apr-16,Spring,d,443
Apr-16,Spring,d,352
Apr-16,Spring,d,166
Apr-16,Spring,d,976
Apr-16,Spring,d,387
Apr-16,Spring,d,214
Apr-16,Spring,d,574
Apr-16,Spring,d,467
May-16,Spring,d,567
May-16,Spring,d,683
May-16,Spring,d,331
May-16,Spring,d,186
May-16,Spring,d,165
May-16,Spring,d,253
May-16,Spring,d,737
May-16,Spring,d,248
Jun-16,Summer,d,581
Jun-16,Summer,d,615
Jun-16,Summer,d,457
Jun-16,Summer,d,242
Jun-16,Summer,d,632
Jun-16,Summer,d,350
Jun-16,Summer,d,601
Jun-16,Summer,d,248
Jun-16,Summer,d,561
Jun-16,Summer,d,292
Jul-16,Summer,d,478
Jul-16,Summer,d,489
Jul-16,Summer,d,606
Jul-16,Summer,d,544
Jul-16,Summer,d,635
Jul-16,Summer,d,680
Jul-16,Summer,d,473
Jul-16,Summer,d,855
Aug-16,Summer,d,303
Aug-16,Summer,d,411
Aug-16,Summer,d,348
Aug-16,Summer,d,540
Aug-16,Summer,d,569
Aug-16,Summer,d,447
Aug-16,Summer,d,440
Aug-16,Summer,d,377
Aug-16,Summer,d,381
Aug-16,Summer,d,326
Sep-16,Autumn,d,286
Sep-16,Autumn,d,172
Sep-16,Autumn,d,124
Sep-16,Autumn,d,225
Sep-16,Autumn,d,236
Sep-16,Autumn,d,77
Sep-16,Autumn,d,132
Sep-16,Autumn,d,362
Oct-16,Autumn,d,169
Oct-16,Autumn,d,207
Oct-16,Autumn,d,305
Oct-16,Autumn,d,248
Oct-16,Autumn,d,192
Oct-16,Autumn,d,172
Oct-16,Autumn,d,202
Oct-16,Autumn,d,137
Nov-16,Autumn,d,101
Nov-16,Autumn,d,162
Nov-16,Autumn,d,111
Nov-16,Autumn,d,165
Nov-16,Autumn,d,102
Nov-16,Autumn,d,174
Nov-16,Autumn,d,235
Nov-16,Autumn,d,123
Nov-16,Autumn,d,87
Dec-16,Winter,d,142
Dec-16,Winter,d,132
Dec-16,Winter,d,143
Dec-16,Winter,d,170
Dec-16,Winter,d,177
Dec-16,Winter,d,168
Dec-16,Winter,d,171
Dec-16,Winter,d,173
Dec-16,Winter,d,180
Jan-17,Winter,d,161
Jan-17,Winter,d,178
Jan-17,Winter,d,267
Jan-17,Winter,d,239
Jan-17,Winter,d,333
Jan-17,Winter,d,175
Jan-17,Winter,d,158
Jan-17,Winter,d,315
Jan-17,Winter,d,137
Jan-17,Winter,d,236
Feb-17,Winter,d,216
Feb-17,Winter,d,248
Feb-17,Winter,d,322
Feb-17,Winter,d,178
Feb-17,Winter,d,370
Feb-17,Winter,d,316
Feb-17,Winter,d,295
Feb-17,Winter,d,184
Feb-17,Winter,d,242
Mar-16,Spring,h,214
Mar-16,Spring,h,124
Mar-16,Spring,h,100
Mar-16,Spring,h,443
Mar-16,Spring,h,179
Mar-16,Spring,h,389
Mar-16,Spring,h,113
Mar-16,Spring,h,197
Mar-16,Spring,h,180
Mar-16,Spring,h,206
Mar-16,Spring,h,240
Mar-16,Spring,h,199
Apr-16,Spring,h,701
Apr-16,Spring,h,404
Apr-16,Spring,h,421
Apr-16,Spring,h,307
Apr-16,Spring,h,203
Apr-16,Spring,h,225
Apr-16,Spring,h,307
Apr-16,Spring,h,360
Apr-16,Spring,h,385
Apr-16,Spring,h,304
May-16,Spring,h,339
May-16,Spring,h,175
May-16,Spring,h,533
May-16,Spring,h,257
May-16,Spring,h,560
May-16,Spring,h,480
May-16,Spring,h,425
May-16,Spring,h,407
Jun-16,Summer,h,601
Jun-16,Summer,h,724
Jun-16,Summer,h,637
Jun-16,Summer,h,563
Jun-16,Summer,h,651
Jun-16,Summer,h,928
Jun-16,Summer,h,810
Jun-16,Summer,h,685
Jun-16,Summer,h,679
Jul-16,Summer,h,812
Jul-16,Summer,h,541
Jul-16,Summer,h,823
Jul-16,Summer,h,675
Jul-16,Summer,h,762
Jul-16,Summer,h,563
Aug-16,Summer,h,533
Aug-16,Summer,h,688
Aug-16,Summer,h,593
Aug-16,Summer,h,894
Aug-16,Summer,h,581
Aug-16,Summer,h,834
Aug-16,Summer,h,767
Aug-16,Summer,h,908
Aug-16,Summer,h,637
Aug-16,Summer,h,807
Aug-16,Summer,h,258
Sep-16,Autumn,h,666
Sep-16,Autumn,h,434
Sep-16,Autumn,h,401
Sep-16,Autumn,h,689
Sep-16,Autumn,h,698
Sep-16,Autumn,h,772
Sep-16,Autumn,h,607
Sep-16,Autumn,h,697
Oct-16,Autumn,h,619
Oct-16,Autumn,h,550
Oct-16,Autumn,h,521
Oct-16,Autumn,h,569
Oct-16,Autumn,h,417
Oct-16,Autumn,h,579
Oct-16,Autumn,h,408
Oct-16,Autumn,h,466
Oct-16,Autumn,h,539
Oct-16,Autumn,h,402
Nov-16,Autumn,h,286
Nov-16,Autumn,h,477
Nov-16,Autumn,h,462
Nov-16,Autumn,h,673
Nov-16,Autumn,h,751
Nov-16,Autumn,h,686
Nov-16,Autumn,h,388
Dec-16,Winter,h,901
Dec-16,Winter,h,679
Dec-16,Winter,h,633
Dec-16,Winter,h,457
Dec-16,Winter,h,761
Dec-16,Winter,h,563
Dec-16,Winter,h,761
Dec-16,Winter,h,535
Dec-16,Winter,h,913
Jan-17,Winter,h,325
Jan-17,Winter,h,390
Jan-17,Winter,h,462
Jan-17,Winter,h,507
Jan-17,Winter,h,379
Jan-17,Winter,h,580
Jan-17,Winter,h,200
Jan-17,Winter,h,479
Feb-17,Winter,h,639
Feb-17,Winter,h,508
Feb-17,Winter,h,376
Feb-17,Winter,h,292
Feb-17,Winter,h,478
Feb-17,Winter,h,381
Feb-17,Winter,h,584
Feb-17,Winter,h,474
Feb-17,Winter,h,417
Feb-17,Winter,h,531
Mar-16,Spring,o,121
Mar-16,Spring,o,238
Mar-16,Spring,o,233
Mar-16,Spring,o,259
Mar-16,Spring,o,212
Mar-16,Spring,o,221
Mar-16,Spring,o,184
Mar-16,Spring,o,226
Mar-16,Spring,o,93
Apr-16,Spring,o,178
Apr-16,Spring,o,319
Apr-16,Spring,o,193
Apr-16,Spring,o,203
Apr-16,Spring,o,229
Apr-16,Spring,o,277
Apr-16,Spring,o,354
Apr-16,Spring,o,308
Apr-16,Spring,o,248
May-16,Spring,o,155
May-16,Spring,o,247
May-16,Spring,o,778
May-16,Spring,o,833
May-16,Spring,o,536
May-16,Spring,o,388
May-16,Spring,o,865
May-16,Spring,o,686
May-16,Spring,o,771
Jun-16,Summer,o,841
Jun-16,Summer,o,982
Jun-16,Summer,o,559
Jun-16,Summer,o,1137
Jun-16,Summer,o,1166
Jun-16,Summer,o,639
Jun-16,Summer,o,728
Jun-16,Summer,o,580
Jul-16,Summer,o,667
Jul-16,Summer,o,815
Jul-16,Summer,o,478
Jul-16,Summer,o,1114
Jul-16,Summer,o,617
Jul-16,Summer,o,329
Jul-16,Summer,o,471
Aug-16,Summer,o,668
Aug-16,Summer,o,304
Aug-16,Summer,o,161
Sep-16,Autumn,o,330
Sep-16,Autumn,o,531
Sep-16,Autumn,o,339
Sep-16,Autumn,o,650
Sep-16,Autumn,o,479
Sep-16,Autumn,o,694
Sep-16,Autumn,o,225
Sep-16,Autumn,o,373
Oct-16,Autumn,o,212
Oct-16,Autumn,o,342
Oct-16,Autumn,o,303
Oct-16,Autumn,o,352
Oct-16,Autumn,o,350
Oct-16,Autumn,o,238
Oct-16,Autumn,o,195
Oct-16,Autumn,o,357
Nov-16,Autumn,o,156
Nov-16,Autumn,o,146
Nov-16,Autumn,o,385
Nov-16,Autumn,o,155
Nov-16,Autumn,o,213
Nov-16,Autumn,o,156
Nov-16,Autumn,o,196
Nov-16,Autumn,o,114
Dec-16,Winter,o,180
Dec-16,Winter,o,331
Dec-16,Winter,o,269
Dec-16,Winter,o,581
Dec-16,Winter,o,192
Dec-16,Winter,o,412
Dec-16,Winter,o,429
Dec-16,Winter,o,301
Dec-16,Winter,o,382
Dec-16,Winter,o,511
Jan-17,Winter,o,424
Jan-17,Winter,o,258
Jan-17,Winter,o,490
Jan-17,Winter,o,339
Jan-17,Winter,o,329
Jan-17,Winter,o,324
Jan-17,Winter,o,690
Jan-17,Winter,o,416
Jan-17,Winter,o,463
Jan-17,Winter,o,726
Feb-17,Winter,o,739
Feb-17,Winter,o,486
Feb-17,Winter,o,599
Feb-17,Winter,o,478
Feb-17,Winter,o,270
Feb-17,Winter,o,934
Feb-17,Winter,o,393
