species,bag,age,R,NPP,GPP,d:w
d,P5,0,2.132604238,7.66404648,9.796650718,0.134857916
d,P6,0,2.478813559,10.58659958,13.06541314,0.134857916
d,P3,0,0.683131897,10.24697846,10.93011035,0.134857916
d,P5,0,2.83046683,14.19481982,17.02528665,0.134857916
d,P6,0,3.994362227,14.19950474,18.19386696,0.134857916
d,P3,0,3.523433089,13.55368234,17.07711543,0.134857916
h,P20,0,5.114754098,11.38032787,16.49508197,0.127768198
h,P24,0,4.264479754,10.49461814,14.7590979,0.127768198
h,P21,0,5.937716263,11.53806228,17.47577855,0.127768198
h,P20,0,8.123130035,7.945015823,16.06814586,0.127768198
h,P24,0,14.26149132,12.80046148,27.06195279,0.127768198
h,P21,0,8.677189255,10.31563022,18.99281947,0.127768198
o,P12,0,2.978235968,9.77233677,12.75057274,0.118385329
o,P18,0,4.38131921,0.798025999,5.179345209,0.118385329
o,P11,0,4.131668558,5.312145289,9.443813848,0.118385329
o,P12,0,12.23101604,5.110294118,17.34131016,0.118385329
o,P18,0,9.358957219,9.357192096,18.71614931,0.118385329
o,P11,0,5.17594734,0.81090998,5.986857321,0.118385329
d,B4,13,4.559566787,-2.415162455,2.144404332,0.134857916
d,B5,13,2.921635434,-3.781942078,-0.860306644,0.134857916
d,B6,13,4.811459354,-3.547992165,1.263467189,0.134857916
d,B4,13,2.531876138,-2.978142077,-0.446265938,0.134857916
d,B6,13,5.430784124,-3.862536302,1.568247822,0.134857916
d,B5,13,1.156716418,-3.75,-2.593283582,0.134857916
d,B4,13,6.807228916,-2.537650602,4.269578313,0.134857916
d,B6,13,13.11776062,-1.496138996,11.62162162,0.134857916
d,B5,13,2.191011236,-2.013108614,0.177902622,0.134857916
d,B5,13,2.923538231,-3.002248876,-0.078710645,0.134857916
d,B4,13,9.661161731,-5.390091116,4.271070615,0.134857916
d,B6,13,10.78125,-8.383413462,2.397836538,0.134857916
d,B6,13,9.018624642,3.853868195,12.87249284,0.134857916
d,B4,13,1.295162278,-4.611145132,-3.315982854,0.134857916
d,B4,13,9.545454545,-0.109090909,9.436363636,0.134857916
d,B5,13,4.05654579,-5.826674862,-1.770129072,0.134857916
d,B6,13,13.83786557,5.218060544,19.05592612,0.134857916
d,B5,13,7.328244275,-1.297709924,6.030534351,0.134857916
h,B1,13,5.411025145,-1.806092843,3.604932302,0.127768198
h,B2,13,4.212279867,0.264159924,4.476439791,0.127768198
h,B3,13,1.577615298,-6.158605174,-4.580989876,0.127768198
h,B1,13,4.633507853,4.884816754,9.518324607,0.127768198
h,B2,13,0.946564885,-4.557251908,-3.610687023,0.127768198
h,B1,13,2.861182519,-1.395886889,1.46529563,0.127768198
h,B2,13,1.921348315,-3.497191011,-1.575842697,0.127768198
h,B3,13,2.049131216,-4.781306171,-2.732174955,0.127768198
h,B3,13,8.133918771,2.08287596,10.21679473,0.127768198
h,B1,13,3.650881057,-1.990638767,1.660242291,0.127768198
h,B2,13,1.504823151,-2.199356913,-0.694533762,0.127768198
h,B2,13,1.967889908,-3.357798165,-1.389908257,0.127768198
h,B3,13,7.755632582,-0.632582322,7.12305026,0.127768198
h,B1,13,1.403296171,-3.744546777,-2.341250606,0.127768198
h,B3,13,11.62065895,-2.918521817,8.702137133,0.127768198
h,B2,13,3.1328125,-4.8359375,-1.703125,0.127768198
h,B1,13,4.407810499,-1.728553137,2.679257362,0.127768198
h,B3,13,12.52587322,-5.152005175,7.373868047,0.127768198
o,B9,13,1.328011611,-1.01233672,0.315674891,0.118385329
o,B8,13,1.504021448,-1.793565684,-0.289544236,0.118385329
o,B7,13,2.265364459,-2.429728442,-0.164363983,0.118385329
o,B7,13,2.45716244,-1.891706648,0.565455792,0.118385329
o,B9,13,2.280747276,-3.331603529,-1.050856253,0.118385329
o,B7,13,1.471518987,-4.616297468,-3.144778481,0.118385329
o,B9,13,1.277472527,-3.873626374,-2.596153846,0.118385329
o,B8,13,10.21316614,-17.96238245,-7.749216301,0.118385329
o,B9,13,3.070866142,-13.41005451,-10.33918837,0.118385329
o,B8,13,10.57783019,-14.64622642,-4.068396226,0.118385329
o,B7,13,4.509911894,-6.500550661,-1.990638767,0.118385329
o,B9,13,2.451923077,-2.673816568,-0.221893491,0.118385329
o,B8,13,1.987560844,-4.599783667,-2.612222823,0.118385329
o,B7,13,2.252275025,-6.27148635,-4.019211325,0.118385329
o,B8,13,2.63803681,-4.468302658,-1.830265849,0.118385329
o,B9,13,-0.016778523,-2.684563758,-2.701342282,0.118385329
o,B7,13,4.399441341,-1.613128492,2.786312849,0.118385329
o,B8,13,3.119469027,-2.93931732,0.180151707,0.118385329
d,B6,25,5.875324675,10.01298701,15.88831169,0.134857916
d,B5,25,5.181818182,11.53146853,16.71328671,0.134857916
d,B4,25,4.849740933,14.33160622,19.18134715,0.134857916
d,B6,25,4.275037369,4.162929746,8.437967115,0.134857916
d,B6,25,8.342816501,7.773826458,16.11664296,0.134857916
d,B5,25,4.588938714,11.76382661,16.35276532,0.134857916
d,B5,25,5.46882793,12.94264339,18.41147132,0.134857916
d,B4,25,5.642281106,18.31797235,23.96025346,0.134857916
d,B6,25,4.874616172,9.902763562,14.77737973,0.134857916
d,B5,25,4.450934579,9.679906542,14.13084112,0.134857916
d,B4,25,7.298432251,10.61590146,17.91433371,0.134857916
d,B5,25,4.286678668,-1.910441044,2.376237624,0.134857916
d,B6,25,7.36409966,9.487542469,16.85164213,0.134857916
d,B5,25,5.754147813,9.012066365,14.76621418,0.134857916
d,B4,25,4.959859508,15.15805319,20.11791269,0.134857916
d,B6,25,6.693502013,14.12018401,20.81368603,0.134857916
d,B4,25,5.524193548,7.75,13.27419355,0.134857916
d,B4,25,6.403553299,10.48477157,16.88832487,0.134857916
h,B1,25,7.152682256,4.54607978,11.69876204,0.127768198
h,B2,25,8.096085409,7.268683274,15.36476868,0.127768198
h,B1,25,7.105627306,8.171125461,15.27675277,0.127768198
h,B3,25,6.160020715,9.274987053,15.43500777,0.127768198
h,B2,25,6.02917342,7.487844408,13.51701783,0.127768198
h,B2,25,8.541262136,5.497572816,14.03883495,0.127768198
h,B1,25,7.012987013,15.70909091,22.72207792,0.127768198
h,B3,25,6.786652654,9.742511823,16.52916448,0.127768198
h,B2,25,6.308740602,6.069078947,12.37781955,0.127768198
h,B1,25,6.799687011,5.007824726,11.80751174,0.127768198
h,B1,25,9.199541284,7.266055046,16.46559633,0.127768198
h,B3,25,9.43627451,5.22875817,14.66503268,0.127768198
h,B1,25,4.721531576,4.64694182,9.368473396,0.127768198
h,B2,25,9.899135447,3.458213256,13.3573487,0.127768198
h,B2,25,6.672212978,10.48252912,17.1547421,0.127768198
h,B3,25,9.774494557,6.765163297,16.53965785,0.127768198
h,B3,25,8.477961433,8.58815427,17.0661157,0.127768198
h,B3,25,7.399802078,7.325581395,14.72538347,0.127768198
o,B9,25,7.325819672,-1.352459016,5.973360656,0.118385329
o,B7,25,7.894736842,2.689415847,10.58415269,0.118385329
o,B8,25,7.351190476,2.40327381,9.754464286,0.118385329
o,B8,25,10.83885773,-1.208567058,9.630290668,0.118385329
o,B8,25,2.432432432,-2.494273935,-0.061841503,0.118385329
o,B7,25,2.339449541,-5.043173233,-2.703723691,0.118385329
o,B9,25,6.693975904,2.262650602,8.956626506,0.118385329
o,B9,25,4.573606479,-0.736064793,3.837541687,0.118385329
o,B8,25,3.59904661,-3.384533898,0.214512712,0.118385329
o,B7,25,2.49742268,-2.690721649,-0.193298969,0.118385329
o,B7,25,7.805157593,2.819484241,10.62464183,0.118385329
o,B9,25,4.546783626,-2.06871345,2.478070175,0.118385329
o,B7,25,8.483076923,-5.289230769,3.193846154,0.118385329
o,B9,25,9.65060241,-6.773493976,2.877108434,0.118385329
o,B8,25,4.442369264,-1.776947705,2.665421558,0.118385329
o,B8,25,14.71817755,-6.326914044,8.391263504,0.118385329
o,B9,25,5.835062241,0.295643154,6.130705394,0.118385329
o,B7,25,6.9703657,5.277427491,12.24779319,0.118385329
d,B5,32,3.621856546,11.00789596,14.6297525,0.134857916
d,B6,32,6.251255505,10.70849108,16.95974658,0.134857916
d,B4,32,4.837997054,17.84536082,22.68335788,0.134857916
d,B6,32,4.462312549,11.27071823,15.73303078,0.134857916
d,B4,32,7.202194357,5.940438871,13.14263323,0.134857916
d,B4,32,6.581477733,9.898785425,16.48026316,0.134857916
d,B6,32,5.786147624,12.05763397,17.8437816,0.134857916
d,B5,32,6.083672284,16.80418361,22.8878559,0.134857916
d,B4,32,5.100864553,10.16714697,15.26801153,0.134857916
d,B5,32,4.930264993,12.18967922,17.11994421,0.134857916
d,B6,32,3.944530046,7.657935285,11.60246533,0.134857916
d,B5,32,3.725761773,12.64542936,16.37119114,0.134857916
d,B4,32,6.31023281,5.360043313,11.67027612,0.134857916
d,B5,32,5.157894737,12.19548872,17.35338346,0.134857916
d,B4,32,5.020283976,13.9198783,18.94016227,0.134857916
d,B6,32,4.349015317,14.80306346,19.15207877,0.134857916
d,B6,32,6.926523297,10.01792115,16.94444444,0.134857916
d,B5,32,4.113263785,13.75558867,17.86885246,0.134857916
h,B2,32,4.006265664,7.929824561,11.93609023,0.127768198
h,B1,32,3.456043956,12.15384615,15.60989011,0.127768198
h,B3,32,3.124262818,6.206896552,9.33115937,0.127768198
h,B2,32,4.434239793,3.08890005,7.523139844,0.127768198
h,B1,32,7.006849315,2.698630137,9.705479452,0.127768198
h,B3,32,5.85989011,2.818681319,8.678571429,0.127768198
h,B2,32,6.493072145,-0.344003822,6.149068323,0.127768198
h,B2,32,6.054977712,16.06240713,22.11738484,0.127768198
h,B2,32,5.648535565,11.06171548,16.71025105,0.127768198
h,B1,32,7.245384157,10.73853484,17.983919,0.127768198
h,B3,32,3.828644501,7.626598465,11.45524297,0.127768198
h,B3,32,4.110141034,12.3707186,16.48085964,0.127768198
h,B2,32,5.138801262,5.753943218,10.89274448,0.127768198
h,B1,32,4.817749604,7.290015848,12.10776545,0.127768198
h,B1,32,6.308411215,9.281849484,15.5902607,0.127768198
h,B3,32,4.731838128,10.15114578,14.88298391,0.127768198
h,B1,32,4.081738231,8.070356958,12.15209519,0.127768198
h,B3,32,2.563338301,8.524590164,11.08792846,0.127768198
o,B8,32,3.153617811,-1.05974026,2.093877551,0.118385329
o,B9,32,2.016202647,-1.709265176,0.306937471,0.118385329
o,B7,32,2.747589833,-0.245398773,2.50219106,0.118385329
o,B9,32,7.482539683,2.844444444,10.32698413,0.118385329
o,B8,32,4.563934426,-8.144262295,-3.580327869,0.118385329
o,B9,32,8.17169718,-6.724393864,1.447303315,0.118385329
o,B7,32,5.955746773,-4.996926859,0.958819914,0.118385329
o,B8,32,10.67875648,-3.606217617,7.07253886,0.118385329
o,B9,32,1.684238271,-4.269899842,-2.585661571,0.118385329
o,B8,32,5.254326167,-4.656528579,0.597797588,0.118385329
o,B8,32,1.323113208,-4.188679245,-2.865566038,0.118385329
